,lyrics,title
26,"[Video Intro]Wicked or weakness?You gotta see thisWaaaaay (yeah, yeah!)[Album Intro]Nobody pray for meIt's been that day for meWaaaaay (yeah, yeah!)[Verse 1]Ayy, I remember syrup sandwiches and crime allowancesFinesse a nigga with some counterfeits, but now I'm countin' thisParmesan where my accountant lives, in fact I'm downin' thisD'USSÉ with my boo bae tastes like Kool-Aid for the analystsGirl, I can buy yo' ass the world with my paystubOoh, that pussy good, won't you sit it on my taste bloods?I get way too petty once you let me do the extrasPull up on your block, then break it down: we playin' TetrisA.M. to the P.M., P.M. to the A.M., funkPiss out your per diem, you just gotta hate 'em, funkIf I quit your BM, I still ride Mercedes, funkIf I quit this season, I still be the greatest, funkMy left stroke just went viralRight stroke put lil' baby in a spiralSoprano C, we like to keep it on a high noteIt's levels to it, you and I know[Chorus]Bitch, be humble (hol' up, bitch)Sit down (hol' up, lil', hol' up, lil' bitch)Be humble (hol' up, bitch)Sit down (hol' up, sit down, lil', sit down, lil' bitch)Be humble (hol' up, hol' up)Bitch, sit down (hol' up, hol' up, lil' bitch)Be humble (lil' bitch, hol' up, bitch)Sit down (hol' up, hol' up, hol' up, hol' up)Be humble (hol' up, hol' up)Sit down (hol' up, hol' up, lil', hol' up, lil' bitch)Be humble (hol' up, bitch)Sit down (hol' up, sit down, lil', sit down, lil' bitch)Be humble (hol' up, hol' up)Bitch, sit down (hol' up, hol' up, lil' bitch)Be humble (lil' bitch, hol' up, bitch)Sit down (hol' up, hol' up, hol' up, hol' up)[Verse 2]Who dat nigga thinkin' that he frontin' on Man-Man? (Man-Man)Get the fuck off my stage, I'm the Sandman (Sandman)Get the fuck off my dick, that ain't rightI make a play fucking up your whole lifeI'm so fuckin' sick and tired of the PhotoshopShow me somethin' natural like afro on Richard PryorShow me somethin' natural like ass with some stretch marksStill will take you down right on your mama's couch in Polo socksAyy, this shit way too crazy, ayy, you do not amaze me, ayyI blew cool from AC, ayy, Obama just paged me, ayyI don't fabricate it, ayy, most of y'all be fakin', ayyI stay modest 'bout it, ayy, she elaborate it, ayyThis that Grey Poupon, that Evian, that TED Talk, ayyWatch my soul speak, you let the meds talk, ayyIf I kill a nigga, it won't be the alcohol, ayyI'm the realest nigga after all[Chorus]Bitch, be humble (hol' up, bitch)Sit down (hol' up, lil', hol' up, lil' bitch)Be humble (hol' up, bitch)Sit down (hol' up, sit down, lil', sit down, lil' bitch)Be humble (hol' up, hol' up)Bitch, sit down (hol' up, hol' up, lil' bitch)Be humble (lil' bitch, hol' up, bitch)Sit down (hol' up, hol' up, hol' up, hol' up)Be humble (hol' up, hol' up)Sit down (hol' up, hol' up, lil', hol' up, lil' bitch)Be humble (hol' up, bitch)Sit down (hol' up, sit down, lil', sit down, lil' bitch)Be humble (hol' up, hol' up)Bitch, sit down (hol' up, hol' up, lil' bitch)Be humble (lil' bitch, hol' up, bitch)Sit down (hol' up, hol' up, hol' up, hol' up)",humble.
27,"[Intro: Post Malone]Mm-mmmYah, yahMm-mmmYah (hey)[Chorus: Post Malone]My momma called, seen you on TV, sonSaid shit done changed ever since we was onI dreamed it all ever since I was youngThey said I wouldn't be nothingNow they always say, ""Congratulations"" (uh, uh)Worked so hard, forgot how to vacation (uh-huh)They ain't never had the dedication (uh, uh)People hatin', say we changed and look, we made it (uh, uh)Yeah, we made it (uh, uh)[Verse 1: Post Malone]They was never friendly, yeahNow I'm jumping out the Bentley, yeahAnd I know I sound dramatic, yeahBut I know I had to have it, yeahFor the money, I'm a savage, yeahI be itching like a addict, yeahI'm surrounded, twenty bad bitches, yeahBut they didn't know me last year, yeahEveryone wanna act like they important (yeah, yeah, yeah, yeah, yeah)But all that mean nothing when I saw my dough, yuh (yeah, yeah, yeah, yeah, yeah)Everyone countin' on me, drop the ball, yuh (yeah, yeah, yeah, yeah, yeah)Everything custom like I'm at the border, yah, yahIf you fuck with winning, put your lighters to the skyHow could I make cents when I got millions on my mind?Coming with that bullshit, I just put it to the sideBalling since a baby, they could see it in my eyes[Chorus: Post Malone & Quavo]My momma called, seen you on TV, sonSaid shit done changed ever since we was onI dreamed it all ever since I was youngThey said I wouldn't be nothingNow they always say, ""Congratulations"" (congratulations)Worked so hard, forgot how to vacation (ooh)They ain't never had the dedication (uh, uh, ayy)People hatin', say we changed and look we made it (uh, uh)Yeah, we made it (uh, uh, yah)[Verse 2: Quavo]I was patient (yah)Uh, I was patient (ayy, uh)Now I can scream that we made it (we made it)Now everywhere, everywhere I go, they say 'gratulation (uh)Young nigga, young nigga, graduation (yah)I pick up the rock and I ball, baby (ball)I'm looking for someone to call, baby (brr)But right now, I got a situation (ayy)Never old Ben-Ben Franklins (cash)Big rings, champagne (ooh, champagne)My life is like a ball game (ball game)But instead, I'm in the trap though (trap though)Pot so big, call it Super Bowl (Super Bowl)Super Bowl, call the hoes (brr)Get in the Rolls (skrrt)Top-floor lifestyle (top)Huncho and Post (yah, ayy) Malone (ayy)I gotta play on my phone (ayy)You know what I'm on (ayy)Huncho Houdini is gone (ayy)[Chorus: Post Malone & Quavo]My momma called, seen you on TV, sonSaid shit done changed ever since we was onI dreamed it all ever since I was youngThey said I wouldn't be nothingNow they always say, ""Congratulations"" (ayy, uh, uh)Worked so hard, forgot how to vacation (uh-huh, ooh)They ain't never had the dedication (ayy, uh, uh)People hatin', say we changed and look we made it (yah,  uh, uh)Yeah, we made it (ayy)[Outro]Hey, hey, hey, heyHey, hey, hey, heyHey, hey, hey, heyHey, hey, hey, hey",congratulations
28,"[Verse 1]Just a young gun with a quick fuseI was uptight, wanna let looseI was dreaming of bigger thingsAnd wanna leave my old life behindNot a yessir, not a followerFit the box, fit the moldHave a seat in the foyer, take a numberI was lightning before the thunder[Chorus]Thunder, feel the thunderLightning then the thunderThunder, feel the thunderLightning then the thunderThunder, thunderThunder[Verse 2]Kids were laughing in my classesWhile I was scheming for the massesWho do you think you are?Dreaming 'bout being a big starThey say you're basic, they say you're easyYou're always riding in the backseatNow I'm smiling from the stageWhile you were clapping in the nose bleeds[Chorus]Thunder, feel the thunderLightning then the thunderThunder, feel the thunderLightning then the thunderThunder[Bridge]Thunder, feel the thunderLightning then the thunder, thunder[Chorus]Thunder, feel the thunderLightning then the thunder, thunderThunder, feel the thunderLightning then the thunder, thunderThunder, feel the thunderLightning then the thunder, thunderThunder, feel the thunderLightning then the thunder, thunder",thunder
29,"Letra de Reggaetón Lento (Bailemos)[Verso 1: Erick]Qué bien se veMe trae loco su figuraEse trajecito corto le queda bienCombinado con su lipstick color caféQué bien se veMe hipnotiza su cinturaCuando baila hasta los dioses la quieren verYa no perderé más tiempo, me acercaré[Coro: Todo]Yo sólo la miré y me gustóMe pegué y la invité: “Bailemos, eh?”La noche está para un reggaetón lentoDe esos que no se bailan hace tiempoYo sólo la miré y me gustóMe pegué y la invité: “Bailemos, eh?”La noche está para un reggaetón lentoDe esos que no se bailan hace tiempo[Verso 2: Erick & Zadbiel]Permíteme bailar contigo esta piezaEntre todas las mujeres se resalta tu bellezaMe encanta tu firmeza, te mueves con destrezaMuévete, muévete, muéveteMuy rica, latina, estás llena de vidaSube las dos manos, dale pa´ arriba¿Dónde están las solteras y las que no, también?Sin miedo muévete, muévete, muévete[Coro: Todo]Yo sólo la miré y me gustóMe pegué y la invité: “Bailemos, eh?”La noche está para un reggaetón lentoDe esos que no se bailan hace tiempoYo sólo la miré y me gustóMe pegué y la invité: “Bailemos, eh?”La noche está para un reggaetón lentoDe esos que no se bailan hace tiempo[Pos-Coro: Todo]Baila conmigoLa noche está para un reggaetón lentoDe esos que no se bailan hace tiempo[Puente: Richard]I know you like it when I take you to the floorI know you like this reggaetón lentoThis is happend baby till I say soCome get - come get some more[Verso 3: Zadbiel & Joel]Es imposible atrasar las horasCada minuto contigo es un sueñoQuisiera ser su confidente¿Por qué no te atreves y lo hacemos ahora?No te pongas tímidaEstamos tú y yo a solas[Coro: Todo]Yo sólo la miré y me gustóMe pegué y la invité: “Bailemos, eh?”La noche está para un reggaetón lentoDe esos que no se bailan hace tiempoYo sólo la miré y me gustóMe pegué y la invité: “Bailemos, eh?”La noche está para un reggaetón lentoDe esos que no se bailan hace tiempo[Coro: Todo]Yo sólo la miré y me gustóMe pegué y la invité: “Bailemos, eh?”La noche está para un reggaetón lentoDe esos que no se bailan hace tiempoYo sólo la miré y me gustóMe pegué y la invité: “Bailemos, eh?”La noche está para un reggaetón lentoDe esos que no se bailan hace tiempo[Pos-Coro: Todo]Muévete, muéveteBáilalo, báilaloLa noche está para un reggaetón lentoDe esos que no se bailan hace tiempoMuévete, muéveteBáilalo, báilaloLa noche está para un reggaetón lentoDe esos que no se bailan hace tiempo¿Que quiénes somos?¡CNCO![Outro: Erick]Qué bien se veMe trae loco su figuraEse trajecito corto le queda bienCombinado con su lipstick color caféQué bien se ve",reggaetón lento (bailemos)
30,"[Intro]Ooh, na na yeahDon't act like you know me, like you know me, na na yeahI am not your homie, not your hoe, na na yeahDon't act like you know me, like you know me, na na yeahYou don't know me(""What you-what you gonna do?"")[Verse 1]Oh yeah, time is money so don't fuck with mineSee I'm out with my girls, I'ma have a good timeStep back with your chit-chat, killin' my vibe[Refrain]See, I can't get too much of a good thingS'why me a dressed up in the finest thingsWell, please hold your tongue, oh, don't say a damn thing[Chorus]See your iPhone camera flashin'Please step back, it's my style you're crampin'""You here for long?"" ""Oh no, I'm just passin'""""Do you wanna drink?"" ""Na, thanks for askin'""[Post-Chorus]Ooh, na na yeahDon't act like you know me, like you know me, na na yeahI am not your homie, not your, hoo, na na yeahDon't act like you know me, like you know me, na na yeahYou don't know me, fuck yeahOoh, na na yeahDon't act like you know me, like you know me, na na yeahI am not your homie, not your, hoo, na na yeahDon't act like you know me, like you know me, na na yeahYou don't know me, fuck yeah[Interlude]I mean, we could throw shapes togetherBut it doesn't mean you're in my circle, yeah[Verse 2]Cruise through life and I'm feelin' on trackIf you can't keep up, then you better fall back'Cause money look better when I see it all stacked up[Refrain]See, I can't get too much of a good thingS'why me a dressed up in the finest thingsWell, please hold your tongue, oh, don't say a damn thing[Chorus]See your iPhone camera flashin'Please step back, it's my style you're crampin'""You here for long?"" ""Oh no, I'm just passin'""""Do you wanna drink?"" ""Na, thanks for askin'""[Post-Chorus]Ooh, na na yeahDon't act like you know me, like you know me, na na yeahI am not your homie, not your, hoo, na na yeahDon't act like you know me, like you know me, na na yeahYou don't know me, fuck yeahOoh, na na yeahDon't act like you know me, like you know me, na na yeahI am not your homie, not your, hoo, na na yeahDon't act like you know me, like you know me, na na yeahYou don't know me, fuck yeah[Bridge]Come round here, just know thoughWon't get what you want, what you want, what you want, wantTell you what you don't knowI get what I want, what I want, what I want, want[Chorus]See your iPhone camera flashin'Please step back, it's my style you're crampin'""You here for long?"" ""Oh no, I'm just passin'""""Do you wanna drink?"" ""Na, thanks for askin'""[Post-Chorus]Ooh, na na yeahDon't act like you know me, like you know me, na na yeahI am not your homie, not your, hoo, na na yeahDon't act like you know me, like you know me, na na yeahYou don't know me, fuck yeah[Outro]You don't know me, fuck yeah",you don't know me   radio edit
31,"[Verse 1: Jack]""No thank you"" is what I should've saidI should be in bedBut temptations of trouble on my tongueTroubles yet to come[Pre-Chorus: Jack]One sip, bad for meOne hit, bad for meOne kiss, bad for meBut I give in so easilyAnd ""no thank you"" is how it should've goneI should stay strong[Chorus: All]But I'm weak, and what's wrong with that?Boy, oh boy I love it when I fall for thatI'm weak, and what's wrong with that?Boy, oh boy I love it when I fall for thatI'm weakOoh waaaaaaa ee ya ee yaOoh waaaaaaa ee ya ee yaBut I'm weak, and what's wrong with that?Boy, oh boy I love it when I fall for that(Boy, oh boy I love it when I fall for that)[Verse 2]No thank youThey call me after dark, I don't want no partMy habits, they hold me like a grudgeI promise I won't budge[Pre-Chorus: Jack]One sip, bad for meOne hit, bad for meOne kiss, bad for meBut I give in so easilyAnd ""no thank you"" is how it should've goneI should stay strong[Chorus]But I'm weak, and what's wrong with that?Boy, oh boy I love it when I fall for thatI'm weak, and what's wrong with that?Boy, oh boy I love it when I fall for thatI'm weakOoh waaaaaaa ee ya ee yaOoh waaaaaaa ee ya ee yaBut I'm weak, and what's wrong with that?Boy, oh boy I love it when I fall for that[Bridge]We, we fall for thatWake up, we fall againWe, we fall for thatCan't wait to fall again[Pre-Chorus]One sip, bad for meOne hit, bad for meOne kiss, bad for meBut I give in so easilyAnd no thank you is how it should've goneI should stay strong[Chorus]But I'm weak, and what's wrong with that?Boy, oh boy I love it when I fall for thatI'm weak, and what's wrong with that?Boy, oh boy I love it when I fall for thatI'm weakGo!Ooh waaaaaaa ee ya ee yaOoh waaaaaaa ee ya ee yaBut I'm weak, and what's wrong with that?Boy, oh boy I love it when I fall for thatOoh waaaaaaa ee ya ee yaaaaa",weak
32,"[Verse 1]Got a girl from the south side, got braids in her hairFirst time I seen her walk by, man I 'bout fell off my chairHad to get her number, it took me like six weeksNow me and her go way back like Cadillac seats[Chorus]Body like a back road, drivin' with my eyes closedI know every curve like the back of my handDoin' 15 in a 30, I ain't in no hurryI'ma take it slow just as fast as I can[Verse 2]The way she fit in them blue jeans, she don't need no beltBut I can turn them inside out, I don't need no helpGot hips like honey, so thick and so sweetIt ain't no curves like hers on them downtown streets[Chorus]Body like a back road, drivin' with my eyes closedI know every curve like the back of my handDoin' 15 in a 30, I ain't in no hurryI'ma take it slow just as fast as I can[Bridge]We're out here in the boondocksWith the breeze and the birdsTangled up in the tall grassWith my lips on hersOn the highway to heavenHeaded south of her smileGet there when we get thereEvery inch is a mile[Chorus]Body like a back road, drivin' with my eyes closedI know every curve like the back of my handDoin' 15 in a 30, I ain't in no hurryI'ma take it slow just as fast as I can[Outro]I'ma take it slowAs fast as I canBody like a back roadDrivin' with my eyes closedI know every curve like the back of my hand",body like a back road
33,"[Intro]Are you alright?I'm alright, I'm quite alrightAnd my money's right8… (yeah)Countin' them bandsAll way to the top 'til they be fallin' over(yeah, yeah, yeah)Countin' them bandsOn my way to the top 'til we fallin' over[Chorus]I don't really care if you cryOn the real, you shoulda never liedShoulda saw the way she looked me in my eyesShe said: ""Baby, I am not afraid to die.""Push me to the edgeAll my friends are deadPush me to the edgeAll my friends are deadPush me to the edgeAll my friends are deadPush me to the edge[Verse 1]Phantom that's all red, inside all whiteLike somethin' you ride a sled down, I just want that headMy Brittany got mad, I'm barely her man nowEverybody got the same swag nowWatch the way that I tear it downStackin' my bands all the way to the topAll the way 'til my bands fallin' overEvery time that you leave your spotYour girlfriend call me like, ""Come on over!""I like the way that she treat meGon' leave you, won't leave me, I call it that CasanovaShe say I'm insane, yeahI might blow my brain out (hey)Xanny, help the pain, yeahPlease, Xanny, make it go awayI'm committed, not addicted, but it keep control of meAll the pain, now I can't feel itI swear that it's slowin' me, yeah[Chorus]I don't really care if you cryOn the real, you shoulda never liedSaw the way she looked me in my eyesShe said: ""I am not afraid to die.""All my friends are deadPush me to the edge (yeah)All my friends are dead, yeah, oohPush me to the edgeAll my friends are dead, yeahAll my friends are dead, yeah[Verse 2]That is not your swag, I swear you fake hardNow these niggas wanna take my cadenceRain on 'em, thunderstorm, rain on 'em (ooh, yeah)Medicine, lil' nigga, take some (yeh, yeh)Fast car, NASCAR, race on 'emIn the club, ain't got no ones, then we would beg themClothes from overseas, got the racks and they all C-NotesYou is not a G thoughLookin' at you stackin' all your money, it all green thoughI was countin' that and these all twenties, that's a G-roll[Bridge]She say: ""You're the worst, you're the worst.""I cannot die because this my universe[Chorus]I don't really care if you cryOn the real, you shoulda never liedShoulda saw the way she looked me in my eyesShe said: ""Baby, I am not afraid to die.""Push me to the edgeAll my friends are deadPush me to the edgeAll my friends are deadPush me to the edgeAll my friends are deadPush me to the edge",xo tour llif3
34,"[Intro]Woah-oah, hm-hmm[Verse 1]You've been runnin' 'round, runnin' 'round, runnin' 'roundThrowin' that dirt all on my name'Cause you knew that I, knew that I, knew that I'dCall you upYou've been going 'round, going 'round, going 'roundEvery party in LA'Cause you knew that I, knew that I, knew that I'dBe at one, oh[Pre-Chorus]I know that dress is karma, perfume regretYou got me thinking 'bout when you were mine, oohAnd now I'm all up on ya, what you expect?But you're not coming home with me tonight[Chorus]You just want attention, you don't want my heartMaybe you just hate the thought of me with someone newYeah, you just want attention, I knew from the startYou're just making sure I'm never gettin' over you, oh[Verse 2]You've been runnin' 'round, runnin' 'round, runnin' 'roundThrowin' that dirt all on my name'Cause you knew that I, knew that I, knew that I'dCall you upBaby, now that we're, now that we're, now that we'reRight here standin' face to faceYou already know, 'ready know, 'ready knowThat you won, oh[Pre-Chorus]I know that dress is karma, perfume regretYou got me thinking 'bout when you were mine, oohAnd now I'm all up on ya, what you expect? (oh baby)But you're not coming home with me tonight, oh no[Chorus]You just want attention, you don't want my heartMaybe you just hate the thought of me with someone new (someone new)Yeah, you just want attention (oh), I knew from the start (the start)You're just making sure I'm never gettin' over you (over you), oh[Bridge]What are you doin' to me?What are you doin', huh? (What are you doin'?)What are you doin' to me?What are you doin', huh? (What are you doin'?)What are you doin' to me?What are you doin', huh? (What are you doin'?)What are you doin' to me?What are you doin', huh?[Pre-Chorus]I know that dress is karma, perfume regretYou got me thinking 'bout when you were mineAnd now I'm all up on ya, what you expect?But you're not coming home with me tonight[Chorus]You just want attention, you don't want my heartMaybe you just hate the thought of me with someone newYeah, you just want attention, I knew from the startYou're just making sure I'm never gettin' over you, oh[Bridge]What are you doin' to me? (Hey)What are you doin', huh? (What are you doin', love?)What are you doin' to me?What are you doin', huh? (Yeah, you just want attention)What are you doin' to me? (I knew from the start)What are you doin' huh? (You're just making sure I'm never gettin' over you)What are you doin' to me?What are you doin', huh?",attention
35,"Songtext/deutsche Übersetzung zu „2U” von David Guetta ft. Justin Bieber[Strophe 1]Keine Grenze in der Luft, die ich nicht für dich überquereKein Anzahl von Tränen in meinen Augen, die ich nicht für dich weineOooh neinMit jedem Atemzug, den ich macheMöchte ich, dass du die Luft mit mir teilstEs gibt kein Versprechen, das ich nicht halteIch werde einen Berg erklimmen, es gibt keinen, der zu steil ist[Refrain]Wenn es um dich gehtGibt es kein VerbrechenLass uns unsere beiden Seelen nehmenUnd sie verbindenWenn es um dich gehtSei nicht blindSieh, wie ich aus meinem Herzen sprecheWenn es um dich gehtUm dich geht[Post-Refrain]Möchte, dass du das teilst(Es um dich geht)[Strophe 2]Amor in einer Linie, der Pfeil hat deinen Namen draufOooh yeahVerpasse keine Liebe und bereue deine eigenen Taten dabeiOoohÖffne deinen Geist, mach deinen Kopf freiWerde nicht zu einem leeren Bett aufwachenTeile mein Leben, es ist für dich es zu behaltenJetzt, dass ich dir alles von mir gebe[Refrain]Wenn es um dich gehtGibt es kein VerbrechenLass uns unsere beiden Seelen nehmenUnd sie verbindenWenn es um dich gehtSei nicht blindSieh, wie ich aus meinem Herzen sprecheWenn es um dich gehtUm dich geht[Post-Refrain]Möchte, dass du das teilst(Teilen) Wenn es um dich gehtMöchte, dass du das teilst[Bridge]Möchte, dass du das teilstWenn es um dich gehtMöchte, dass du das teilst[Refrain]Wenn es um dich gehtGibt es kein VerbrechenLass uns unsere beiden Seelen nehmenUnd sie verbindenWenn es um dich gehtSei nicht blindSieh, wie ich aus meinem Herzen sprecheWenn es um dich gehtUm dich geht",2u (feat. justin bieber)
36,"[Chorus: Adam Levine]Cold enough to chill my bonesIt feels like I don't know you anymoreI don't understand why you're so cold to meWith every breath you breatheI see there's something going onI don't understand why you're so cold[Verse 1: Adam Levine]Are we taking time, or a time out?I can't take the in-betweenAsking me for space here in my houseYou know how to fuck with meActing like we're not togetherAfter everything that we've been throughSleeping up under the coversHow am I so far away from you?[Pre-Chorus: Adam Levine]Distant, when we're kissingFeel so differentBaby, tell me how did you get so[Chorus: Adam Levine]Cold enough to chill my bonesIt feels like I don't know you anymoreI don't understand why you're so cold to meWith every breath you breatheI see there's something going onI don't understand why you're so cold, yeahWhoa, yeahWhoa, yeahI don't understand why you're so cold[Verse 2: Adam Levine]What you holdin' on, holdin' on for?If you wanna leave, just leaveWhy you wanna bite your tongue for?The silence is killing meActing like we're not togetherIf you don't want this, then what's the use?Sleeping up under the coversHow am I so far away from you?[Pre-Chorus: Adam Levine]Distant, when we're kissingFeel so differentBaby tell me how did you get so[Chorus: Adam Levine]Cold enough to chill my bonesIt feels like I don't know you anymoreI don't understand why you're so cold to meWith every breath you breatheI see there's something going onI don't understand why you're so cold, yeah[Post-Chorus: Adam Levine & Future]Whoa, yeahWhoa, yeahI don't understand why you're so cold, yeahSo cold, it’s a cold worldWhoa, yeahSo cold, it’s a cold worldWhoa, yeahSo cold, it’s a cold worldI don't understand why you're so cold[Verse 3: Future & Adam Levine]Never thought that you were like thisI took the tag off, and made you pricelessI just spent half a mill' on a chandelierNow you tryna' cut me off like a light switch, yeahTryna' stay, and I leaveSaying that you need some time to breatheThinking that I'm sleeping on the four letter wordBut the four letter word don't sleepWe goin' two separate waysYou ain't been actin' the sameYou gotta go, but where your heart used to beYou gold dig every dayI switched the four door to the two door'Cause I can't let my driver hear what you sayGirl, I tried to give you spaceBaby, tell me how did you get so[Chorus: Adam Levine]Cold enough to chill my bonesIt feels like I don't know you anymoreI don't understand why you're so cold to meWith every breath you breatheI see there's something going onI don't understand why you're so cold[Post-Chorus: Adam Levine & Future]So cold, it’s a cold worldWhoa, yeahSo cold, it’s a cold worldWhoa, yeahSo cold, it’s a cold worldI don't understand why you're so cold, yeahSo cold, it’s a cold worldWhoa, yeahSo cold, it’s a cold worldWhoa, yeahSo cold, it’s a cold worldI don't understand why you're so cold",cold (feat. future)
37,"[Verse 1: Andrew Taggart]We were staying in ParisTo get away from your parentsAnd I thought, “WowIf I could take this in a shot right nowI don't think that we could work this out”Out on the terraceI don't know if it's fair but I thought “HowCould I let you fall by yourselfWhile I'm wasted with someone else?”[Chorus: Andrew Taggart & Emily Warren]If we go down then we go down togetherThey'll say you could do anythingThey'll say that I was cleverIf we go down then we go down togetherWe'll get away with everythingLet's show them we are betterLet's show them we are betterLet's show them we are better[Verse 2: Andrew Taggart]We were staying in ParisTo get away from your parentsYou look so proudStanding there with a frown and a cigarettePosting pictures of yourself on the InternetOut on the terraceWe breathe in the air of this small townOn our own, cuttin' class for the thrill of itGetting drunk on the past, we were livin' in[Chorus: Andrew Taggart & Emily Warren]If we go down then we go down togetherThey'll say you could do anythingThey'll say that I was cleverIf we go down then we go down togetherWe'll get away with everythingLet's show them we are better[Post-Chorus: Emily Warren & Andrew Taggart]Let's show them we areShow them we areLet's show them we areShow them we areLet's show them we are betterWe were staying in ParisLet's show them we are betterLet's show them we areShow them we areLet's show them we areShow them we areLet's show them we are better[Chorus: Andrew Taggart & Emily Warren]If we go down then we go down togetherThey'll say you could do anythingThey'll say that I was cleverIf we go down then we go down togetherWe'll get away with everythingLet's show them we are better[Bridge: Andrew Taggart & Emily Warren]We were staying in Paris (If we go down)We were staying in Paris (If we go down)We were staying in Paris (If we go down)We were staying in Paris (If we go down)Let's show them we are betterWe were staying in Paris[Outro: Andrew Taggart & Emily Warren]Let's show them we are betterLet's show them we are betterIf we go downLet's show them we are betterIf we go downLet's show them we are betterIf we go downLet's show them we are betterLet's show them we are better",paris
38,"[Pre-Chorus: Logic]I've been on the lowI been taking my timeI feel like I'm out of my mindIt feel like my life ain't mine(Who can relate? Woo!)I've been on the lowI been taking my timeI feel like I'm out of my mindIt feel like my life ain't mine[Chorus: Logic]I don't wanna be aliveI don't wanna be aliveI just wanna die todayI just wanna dieI don't wanna be aliveI don't wanna be aliveI just wanna dieAnd let me tell you why[Verse 1: Logic]All this other shit I'm talkin' 'bout they think they know itI've been praying for somebody to save me, no one's heroicAnd my life don't even matter, I know it, I know itI know I'm hurting deep down but can't show itI never had a place to call my ownI never had a home, ain't nobody callin' my phoneWhere you been? Where you at? What's on your mind?They say every life precious but nobody care about mine[Pre-Chorus: Logic]I've been on the lowI been taking my timeI feel like I'm out of my mindIt feel like my life ain't mine(Who can relate? Woo!)I've been on the lowI been taking my timeI feel like I'm out of my mindIt feel like my life ain't mine[Chorus: Logic]I want you to be aliveI want you to be aliveYou don't gotta die todayYou don't gotta dieI want you to be aliveI want you to be aliveYou don't gotta dieNow lemme tell you why[Verse 2: Alessia Cara]It's the very first breathWhen your head's been drowning underwaterAnd it's the lightness in the airWhen you're thereChest to chest with a loverIt's holding on, though the road's longAnd seeing light in the darkest thingsAnd when you stare at your reflectionFinally knowing who it isI know that you'll thank God you did[Verse 3: Logic]I know where you been, where you are, where you goin'I know you're the reason I believe in lifeWhat's the day without a little night?I'm just tryna shed a little lightIt can be hardIt can be so hardBut you gotta live right nowYou got everything to give right now[Pre-Chorus: Logic]I've been on the lowI been taking my timeI feel like I'm out of my mindIt feel like my life ain't mine(Who can relate? Woo!)I've been on the lowI been taking my timeI feel like I'm out of my mindIt feel like my life ain't mine[Chorus: Logic]I finally wanna be aliveI finally wanna be aliveI don't wanna die todayI don't wanna dieI finally wanna be aliveI finally wanna be aliveI don't wanna dieI don't wanna die[Outro: Khalid]Pain don't hurt the same, I knowThe lane I travel feels aloneBut I'm moving 'til my legs give outAnd I see my tears melt in the snowBut I don't wanna cryI don't wanna cry anymoreI wanna feel aliveI don't even wanna die anymoreOh I don't wannaI don't wannaI don't even wanna die anymore",1 800 273 8255
39,"[Verse 1]You know just what to say, things that scare meI should just walk away, but I can't move my feetThe more that I know you, the more that I want toSomething inside me's changedI was so much younger yesterday[Chorus]I didn't know that I was starving till I tasted youDon't need no butterflies when you give me the whole damn zooBy the way, right away, you do things to my bodyI didn't know that I was starving till I tasted you[Post-Chorus]By the way, right away, you do things to my bodyI didn't know that I was starving till I tasted you[Verse 2]You know just how to make my heart beat fasterEmotional earthquake, bring on disasterYou hit me head on, got me weak in my kneesYeah, something inside me's changedI was so much younger yesterdaySo much younger yesterday[Chorus]I didn't know that I was starving till I tasted youDon't need no butterflies when you give me the whole damn zooBy the way, right away, you do things to my bodyI didn't know that I was starving till I tasted you[Breakdown]By the way, right away, you do things to my bodyI didn't know that I was starving till I tasted youYou you, yeah till I tasted youBy the way, by the way, you do things to my bodyI didn't know that I was starving till I tasted youI didn't know till I tasted you[Outro]The more that I know you, the more that I want toSomething inside me's changedI was so much younger yesterday",starving
40,,reggaetón lento (bailemos)
